"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
105000,"Просвещения проспект, 33 корп. 1",Санкт-Петербург,1500,70,Универсальное помещение,https://spb.n1.ru/view/77294826/?open_card_kn
606528,"Транспортный переулок, 3",Санкт-Петербург,864,702,Универсальное помещение,https://spb.n1.ru/view/77292667/?open_card_kn
88407,"Уральская, 19 корп. 8",Санкт-Петербург,893,99,Универсальное помещение,https://spb.n1.ru/view/115276300/?open_card_kn
364896,"Уральская, 19 корп. 8",Санкт-Петербург,1120,325,Универсальное помещение,https://spb.n1.ru/view/115276274/?open_card_kn
95000,"Клинский проспект, 23",Санкт-Петербург,995,95,Универсальное помещение,https://spb.n1.ru/view/115625242/?open_card_kn
592128,"Салова, 45н",Санкт-Петербург,960,616,Универсальное помещение,https://spb.n1.ru/view/113855901/?open_card_kn
120000,"шоссе Колпинское, 127",Санкт-Петербург,2185,54,Универсальное помещение,https://spb.n1.ru/view/113855893/?open_card_kn
312000,"Аэронавт ЖК, 1",Санкт-Петербург,3000,104,Универсальное помещение,https://spb.n1.ru/view/113508531/?open_card_kn
190000,"Большая Конюшенная, 5",Санкт-Петербург,2235,85,Универсальное помещение,https://spb.n1.ru/view/115975766/?open_card_kn
125314,"проспект Малый Васильевского острова, 88",Санкт-Петербург,1219,102,Универсальное помещение,https://spb.n1.ru/view/115274301/?open_card_kn
522960,"Пироговская набережная, 17",Санкт-Петербург,1200,435,Универсальное помещение,https://spb.n1.ru/view/116320396/?open_card_kn
1827500,"Нахимова, 26",Санкт-Петербург,1700,1075,Универсальное помещение,https://spb.n1.ru/view/116320377/?open_card_kn
86900,"Новокузнецкая, 8",Санкт-Петербург,2348,37,Универсальное помещение,https://spb.n1.ru/view/116320366/?open_card_kn
734000,"Софийская, 121 корп. 4",Санкт-Петербург,367,2000,Универсальное помещение,https://spb.n1.ru/view/115975151/?open_card_kn
133000,"Новокузнецкая, 8",Санкт-Петербург,1900,70,Универсальное помещение,https://spb.n1.ru/view/116320288/?open_card_kn
65000,"Алтайская, 23",Санкт-Петербург,1144,56,Универсальное помещение,https://spb.n1.ru/view/109505647/?open_card_kn
1379000,"Херсонская, 39",Санкт-Петербург,3500,394,Универсальное помещение,https://spb.n1.ru/view/115619181/?open_card_kn
174000,"Челюскина, 4",Санкт-Петербург,3000,58,Универсальное помещение,https://spb.n1.ru/view/113105106/?open_card_kn
228000,"Николая Рубцова, 9",Санкт-Петербург,4000,57,Универсальное помещение,https://spb.n1.ru/view/116318250/?open_card_kn
75000,"Федора Абрамова, 8",Санкт-Петербург,6250,12,Универсальное помещение,https://spb.n1.ru/view/116318237/?open_card_kn
615560,"Дегтярная, 5",Санкт-Петербург,1399,440,Универсальное помещение,https://spb.n1.ru/view/116318235/?open_card_kn
50000,"Наставников проспект, 36 корп. 1",Санкт-Петербург,846,59,Универсальное помещение,https://spb.n1.ru/view/116318200/?open_card_kn
80000,"Измайловский проспект, 11",Санкт-Петербург,1142,70,Универсальное помещение,https://spb.n1.ru/view/116318174/?open_card_kn
65000,"Вишерская, 22",Санкт-Петербург,1511,43,Универсальное помещение,https://spb.n1.ru/view/116318173/?open_card_kn
410850,"Уральская, 25",Санкт-Петербург,4500,91,Универсальное помещение,https://spb.n1.ru/view/116318133/?open_card_kn
680000,"Декабристов, 31",Санкт-Петербург,1942,350,Универсальное помещение,https://spb.n1.ru/view/116318044/?open_card_kn
80000,"Херсонская, 43/12",Санкт-Петербург,2222,36,Универсальное помещение,https://spb.n1.ru/view/116318024/?open_card_kn
