color,full_name,id,name,route_type,subtype,type,point.lat,point.lon,city
#78C800,"Москва, Окружная",70030076158836793,Окружная,metro,metro,station,55.846079,37.573794,Москва
#E90101,"Москва, Лихоборы",4504385655418042,Лихоборы,mcc,railway,station,55.847214,37.551655,Москва
#E90101,"Москва, Ботанический сад",4504385655882732,Ботанический сад,mcc,railway,station,55.845559,37.640022,Москва
#E90101,"Москва, Владыкино",4504385655881641,Владыкино,mcc,railway,station,55.847398,37.591501,Москва
#E94282,"Москва, Рижская",70030076195137802,Рижская,mcd,railway,station,55.792235,37.64123,Москва
#E15D29,"Москва, Петровско-Разумовская",4504385606390420,Петровско-Разумовская,mcd,railway,station,55.839627,37.568692,Москва
#E94282,"Москва, Марьина Роща",70030076370307776,Марьина Роща,mcd,railway,station,55.801018,37.620411,Москва
#ED9F2E,"Москва, Окружная",70030076195132806,Окружная,mcd,railway,station,55.847852,37.574133,Москва
#E15D29,"Москва, Лихоборы",70030076541332283,Лихоборы,mcd,railway,station,55.850199,37.552432,Москва
#3CB183,"Москва, Марьина Роща",70030076677220305,Марьина Роща,mcd,railway,station,55.800997,37.619934,Москва
#78C800,"Москва, Петровско-Разумовская",4504385655898555,Петровско-Разумовская,metro,metro,station,55.83487,37.574907,Москва
#EA6A00,"Москва, Свиблово",4504385606390705,Свиблово,metro,metro,station,55.855392,37.653109,Москва
#E90101,"Москва, Ростокино",4504385655882976,Ростокино,mcc,railway,station,55.839587,37.667376,Москва
#0064AF,"Москва, Пятницкое шоссе",4504385606392735,Пятницкое шоссе,metro,metro,station,55.856355,37.354362,Москва
#3EA332,"Москва, Ховрино",70030076154957267,Ховрино,metro,metro,station,55.878247,37.480743,Москва
#9B007F,"Москва, Планерная",4504385606388239,Планерная,metro,metro,station,55.860677,37.436458,Москва
#3EA332,"Москва, Беломорская",70030076171747899,Беломорская,metro,metro,station,55.865046,37.475005,Москва
#E15D29,"Москва, Ховрино",70030076248608310,Ховрино,mcd,railway,station,55.879402,37.486887,Москва
