"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url,OSM_address,address_info,district,lat,lon
596100,"Летчика Ульянина (п Внуковское), 4",Москва,2500,238,Универсальное помещение,https://msk.n1.ru/view/115719360/?open_card_kn,"Летчика Ульянина (п Внуковское), 4, Москва, Россия","{'district': 'Адрес не найден', 'lat': None, 'lon': None}",Адрес не найден,,
1020800,"Пяловская, 1",Москва,1100,928,Универсальное помещение,https://msk.n1.ru/view/114662089/?open_card_kn,"Пяловская, 1, Москва, Россия","{'district': 'район Западное Дегунино', 'lat': 55.8621739, 'lon': 37.5362182}",район Западное Дегунино,55.8621739,37.5362182
1000000,"Новокузнецкая, 4 ст4",Москва,2666,375,Универсальное помещение,https://msk.n1.ru/view/114298254/?open_card_kn,"Новокузнецкая, 4 ст4, Москва, Россия","{'district': 'Адрес не найден', 'lat': None, 'lon': None}",Адрес не найден,,
401856,"Милютинский переулок, 5 ст2",Москва,2300,174,Универсальное помещение,https://msk.n1.ru/view/116065985/?open_card_kn,"Милютинский переулок, 5 ст2, Москва, Россия","{'district': 'Красносельский район', 'lat': 55.7630413, 'lon': 37.6319057}",Красносельский район,55.7630413,37.6319057
928560,"Красностуденческий проезд, 2б",Москва,1200,773,Универсальное помещение,https://msk.n1.ru/view/116064696/?open_card_kn,"Красностуденческий проезд, 2б, Москва, Россия","{'district': 'Тимирязевский район', 'lat': 55.8275822, 'lon': 37.5673911}",Тимирязевский район,55.8275822,37.5673911
91440,"Футбольная (п Десеновское), 17",Москва,1800,50,Универсальное помещение,https://msk.n1.ru/view/115704618/?open_card_kn,"Футбольная (п Десеновское), 17, Москва, Россия","{'district': 'Адрес не найден', 'lat': None, 'lon': None}",Адрес не найден,,
418958,"Ленинградский проспект, 80 корп. 17",Москва,2084,201,Универсальное помещение,https://msk.n1.ru/view/116059435/?open_card_kn,"Ленинградский проспект, 80 корп. 17, Москва, Россия","{'district': 'район Аэропорт', 'lat': 55.7913349, 'lon': 37.5523324}",район Аэропорт,55.7913349,37.5523324
1584000,"Конструктора Гуськова, 14 ст2",Москва,1320,1200,Универсальное помещение,https://msk.n1.ru/view/99733172/?open_card_kn,"Конструктора Гуськова, 14 ст2, Москва, Россия","{'district': 'район Силино', 'lat': 56.0148953, 'lon': 37.1919892}",район Силино,56.0148953,37.1919892
2713954,"Сергия Радонежского, 13 ст1",Москва,2084,1302,Универсальное помещение,https://msk.n1.ru/view/112385730/?open_card_kn,"Сергия Радонежского, 13 ст1, Москва, Россия","{'district': 'Таганский район', 'lat': 55.7467051, 'lon': 37.6722887}",Таганский район,55.7467051,37.6722887
350000,"Земляной Вал, 32",Москва,3102,112,Универсальное помещение,https://msk.n1.ru/view/109564405/?open_card_kn,"Земляной Вал, 32, Москва, Россия","{'district': 'Басманный район', 'lat': 55.7570781, 'lon': 37.657127}",Басманный район,55.7570781,37.657127
127270,"Ленинградское шоссе, 346",Москва,1625,78,Универсальное помещение,https://msk.n1.ru/view/112754257/?open_card_kn,"Ленинградское шоссе, 346, Москва, Россия","{'district': 'Молжаниновский район', 'lat': 55.9477303, 'lon': 37.355673}",Молжаниновский район,55.9477303,37.355673
122400,"проезд улицашоссепр-дпр-д-й, 4 ст4",Москва,1800,68,Универсальное помещение,https://msk.n1.ru/view/112739285/?open_card_kn,"проезд улицашоссепр-дпр-д-й, 4 ст4, Москва, Россия","{'district': 'Адрес не найден', 'lat': None, 'lon': None}",Адрес не найден,,
5450007,"Автозаводская, 14",Москва,2667,2043,Универсальное помещение,https://msk.n1.ru/view/115653957/?open_card_kn,"Автозаводская, 14, Москва, Россия","{'district': 'Даниловский район', 'lat': 55.7039831, 'lon': 37.6476725}",Даниловский район,55.7039831,37.6476725
290000,"Энтузиастов шоссе, 31 ст17",Москва,2084,139,Универсальное помещение,https://msk.n1.ru/view/115652089/?open_card_kn,"Энтузиастов шоссе, 31 ст17, Москва, Россия","{'district': 'район Перово', 'lat': 55.7564952, 'lon': 37.7428422}",район Перово,55.7564952,37.7428422
249600,"Нежинская, 17 корп. 4",Москва,1000,249,Универсальное помещение,https://msk.n1.ru/view/110586095/?open_card_kn,"Нежинская, 17 корп. 4, Москва, Россия","{'district': 'район Очаково-Матвеевское', 'lat': 55.7073597, 'lon': 37.4576918}",район Очаково-Матвеевское,55.7073597,37.4576918
91094,"Бажова, 16",Москва,1198,76,Универсальное помещение,https://msk.n1.ru/view/108536319/?open_card_kn,"Бажова, 16, Москва, Россия","{'district': 'район Ростокино', 'lat': 55.8342871, 'lon': 37.6626715}",район Ростокино,55.8342871,37.6626715
52000,"Главмосстроя, 22 корп. 1",Москва,2600,20,Универсальное помещение,https://msk.n1.ru/view/109321463/?open_card_kn,"Главмосстроя, 22 корп. 1, Москва, Россия","{'district': 'район Солнцево', 'lat': 55.6503041, 'lon': 37.4097589}",район Солнцево,55.6503041,37.4097589
600000,"Долгоруковская, 40",Москва,21126,28,Универсальное помещение,https://msk.n1.ru/view/116331986/?open_card_kn,"Долгоруковская, 40, Москва, Россия","{'district': 'Тверской район', 'lat': 55.7785132, 'lon': 37.6021162}",Тверской район,55.7785132,37.6021162
448500,"Карачаровская 1-я, 8",Москва,1500,299,Универсальное помещение,https://msk.n1.ru/view/116000330/?open_card_kn,"Карачаровская 1-я, 8, Москва, Россия","{'district': 'Нижегородский район', 'lat': 55.7345386, 'lon': 37.7495353}",Нижегородский район,55.7345386,37.7495353
65000,"Академика Анохина, 6 корп. 2",Москва,1444,45,Универсальное помещение,https://msk.n1.ru/view/116331897/?open_card_kn,"Академика Анохина, 6 корп. 2, Москва, Россия","{'district': 'Тропарёво-Никулино', 'lat': 55.6438045, 'lon': 37.4671167}",Тропарёво-Никулино,55.6438045,37.4671167
55000,"Смирновская, 2 ст1",Москва,3313,16,Универсальное помещение,https://msk.n1.ru/view/116331873/?open_card_kn,"Смирновская, 2 ст1, Москва, Россия","{'district': 'Нижегородский район', 'lat': 55.7366034, 'lon': 37.7096849}",Нижегородский район,55.7366034,37.7096849
270000,"Кленовый бульвар, 2",Москва,3000,90,Универсальное помещение,https://msk.n1.ru/view/116331872/?open_card_kn,"Кленовый бульвар, 2, Москва, Россия","{'district': 'район Нагатинский Затон', 'lat': 55.6792246, 'lon': 37.6754126}",район Нагатинский Затон,55.6792246,37.6754126
120000,"Духовской переулок, 17 ст6",Москва,2142,56,Универсальное помещение,https://msk.n1.ru/view/115999703/?open_card_kn,"Духовской переулок, 17 ст6, Москва, Россия","{'district': 'Канатчиково', 'lat': 55.7048129, 'lon': 37.6145426}",Канатчиково,55.7048129,37.6145426
599550,"Коломенская, 17 корп. 3",Москва,3499,171,Универсальное помещение,https://msk.n1.ru/view/115999608/?open_card_kn,"Коломенская, 17 корп. 3, Москва, Россия","{'district': 'Коломенка', 'lat': 55.6753933, 'lon': 37.6839827}",Коломенка,55.6753933,37.6839827
900000,"Мневники Нижн., 20",Москва,4324,208,Универсальное помещение,https://msk.n1.ru/view/114211769/?open_card_kn,"Мневники Нижн., 20, Москва, Россия","{'district': 'Адрес не найден', 'lat': None, 'lon': None}",Адрес не найден,,
3500000,"Оружейный переулок, 15а",Москва,2058,1700,Универсальное помещение,https://msk.n1.ru/view/114211377/?open_card_kn,"Оружейный переулок, 15а, Москва, Россия","{'district': 'Тверской район', 'lat': 55.7722106, 'lon': 37.6005412}",Тверской район,55.7722106,37.6005412
349999,"Рочдельская, 11/5",Москва,2078,168,Универсальное помещение,https://msk.n1.ru/view/114211295/?open_card_kn,"Рочдельская, 11/5, Москва, Россия","{'district': 'Пресненский район', 'lat': 55.756196, 'lon': 37.5708632}",Пресненский район,55.756196,37.5708632
1699988,"Кадашевский 3-й переулок, 6 ст2",Москва,3777,450,Универсальное помещение,https://msk.n1.ru/view/114211278/?open_card_kn,"Кадашевский 3-й переулок, 6 ст2, Москва, Россия","{'district': 'район Якиманка', 'lat': 55.7421974, 'lon': 37.6237431}",район Якиманка,55.7421974,37.6237431
350000,"Оружейный переулок, 15а",Москва,5384,65,Универсальное помещение,https://msk.n1.ru/view/114211266/?open_card_kn,"Оружейный переулок, 15а, Москва, Россия","{'district': 'Тверской район', 'lat': 55.7722106, 'lon': 37.6005412}",Тверской район,55.7722106,37.6005412
150000,"Автозаводская, 14",Москва,6607,22,Универсальное помещение,https://msk.n1.ru/view/114210423/?open_card_kn,"Автозаводская, 14, Москва, Россия","{'district': 'Даниловский район', 'lat': 55.7039831, 'lon': 37.6476725}",Даниловский район,55.7039831,37.6476725
415000,"Нововаганьковский переулок, 3 ст1",Москва,3018,137,Универсальное помещение,https://msk.n1.ru/view/114210386/?open_card_kn,"Нововаганьковский переулок, 3 ст1, Москва, Россия","{'district': 'Пресненский район', 'lat': 55.758708, 'lon': 37.568161}",Пресненский район,55.758708,37.568161
1492200,"Рогожский Вал, 5 ст9",Москва,9000,165,Универсальное помещение,https://msk.n1.ru/view/114210017/?open_card_kn,"Рогожский Вал, 5 ст9, Москва, Россия","{'district': 'Таганский район', 'lat': 55.7406191, 'lon': 37.674576}",Таганский район,55.7406191,37.674576
250000,"Звездный бульвар, 10 ст1",Москва,1470,170,Универсальное помещение,https://msk.n1.ru/view/114209981/?open_card_kn,"Звездный бульвар, 10 ст1, Москва, Россия","{'district': 'Останкинский район', 'lat': 55.8128692, 'lon': 37.6199627}",Останкинский район,55.8128692,37.6199627
90000,"Ленинградский проспект, 33 корп. 5",Москва,5000,18,Универсальное помещение,https://msk.n1.ru/view/114209959/?open_card_kn,"Ленинградский проспект, 33 корп. 5, Москва, Россия","{'district': 'район Аэропорт', 'lat': 55.7929202, 'lon': 37.548719}",район Аэропорт,55.7929202,37.548719
45000,"Семеновская Б., 10 ст13",Москва,1595,28,Универсальное помещение,https://msk.n1.ru/view/114209952/?open_card_kn,"Семеновская Б., 10 ст13, Москва, Россия","{'district': 'район Соколиная Гора', 'lat': 55.7812139, 'lon': 37.7061209}",район Соколиная Гора,55.7812139,37.7061209
2000000,"Мневники Нижн., 16 корп. 2",Москва,7153,279,Универсальное помещение,https://msk.n1.ru/view/114209503/?open_card_kn,"Мневники Нижн., 16 корп. 2, Москва, Россия","{'district': 'Адрес не найден', 'lat': None, 'lon': None}",Адрес не найден,,
149000,"Корабельная, 5а",Москва,4966,30,Универсальное помещение,https://msk.n1.ru/view/114577745/?open_card_kn,"Корабельная, 5а, Москва, Россия","{'district': 'район Нагатинский Затон', 'lat': 55.6855411, 'lon': 37.6997218}",район Нагатинский Затон,55.6855411,37.6997218
